REFNUM,ACRE
00000655,0.9+
00000656,114.0+
00000659,13694.0+
00000660,45.0+
00000661,1.5+
00000662,0.9+
00000663,10.9+
00000664,1.0+
00000665,3.5+
00000666,4.2+
00000667,4.9+
00000668,0.9+
00000669,155.0+
00000670,113.8+
00000671,4.9+
00000672,5.0+
00000673,1.4+
00000674,0.9+
00000675,0.9+
00000676,32.0+
00000677,3.6+
00000678,0.9+
00000679,25.0+
00000680,0.9+
00000681,1.2+
00000682,0.9+
00000683,1.0+
00000684,0.9+
00000685,220.0+
00000686,3.4+
00000687,40.0+
00000688,85.0+
00000689,1.6+
00000690,0.9+
00000691,80.2+
00000692,810.0+
00000693,45.0+
00000694,0.9+
00000695,0.9+
00000696,0.9+
00000697,93.0+
00000699,2.0+
00000700,2.0+
00000701,2.0+
00000702,0.9+
00000703,50.0+
00000704,0.9+
00000705,7.0+
00000706,6.0+
00000707,15.0+
00000708,0.9+
00000709,0.9+
00000710,40.0+
00000711,8.0+
00000712,0.9+
00000713,150.0+
00000714,285.0+
00000715,0.9+
00000716,0.9+
00000717,0.9+
00000718,5.3+
00000719,0.9+
00000721,3.7+
00000722,0.9+
00000723,0.9+
00000725,0.9+
00000727,0.9+
00000728,1.0+
00000729,1.4+
00000730,1.0+
00000731,0.9+
00000732,3.8+
00000733,5.5+
00000734,9.0+
00000735,5.5+
00000739,1.1+
00000740,0.9+
00000741,280.0+
00000742,0.9+
00000743,0.5+
00000744,2.6+
00000745,0.9+
00000746,2.8+
00000747,1.1+
00000748,256.0+
00000749,0.9+
00000750,0.9+
00000751,2.0+
00000753,0.6+
00000754,195.0+
00000755,0.3+
00000756,0.9+
00000757,0.9+
00000758,1.0+
00000759,0.9+
00000760,0.9+
00000761,0.9+
00000762,60.0+
00000763,0.9+
00000764,0.9+
00000765,9.0+
00000766,0.9+
00000767,0.9+
00000768,0.9+
00000769,1.0+
00000770,0.9+
00000771,84.0+
00000772,103.0+
00000773,39.5+
00000774,0.9+
00000775,2.0+
00000776,0.1+
00000777,321.9+
00000778,1000.0+
00000779,3.0+
00000780,24.0+
00000782,8.5+
00000783,746.0+
00000785,95.0+
00000786,0.9+
00000787,49.0+
00000788,85.0+
00000789,0.9+
00000790,0.9+
00000791,1.0+
00000792,0.9+
00000793,40.0+
00000794,8.9+
00000795,3.5+
00000796,0.7+
00000797,0.3+
00000798,84.0+
00000799,0.9+
00000800,5.5+
00000801,0.9+
00000802,26.9+
00000803,0.9+
00000804,0.9+
00000805,1.3+
00000807,1.0+
00000808,143.0+
00000809,0.9+
00000810,0.9+
00000811,0.9+
00000812,6.5+
00000813,170.0+
00000814,0.9+
00000815,0.9+
00000816,50.0+
00000817,3.6+
00000818,0.9+
00000819,1.1+
00000820,1.6+
00000821,3.9+
00000822,0.9+
00000823,0.9+
00000824,4.1+
00000825,0.9+
00000826,6.5+
00000827,4.2+
00000828,0.9+
00000829,1.2+
00000830,20.0+
00000831,0.9+
00000832,17.5+
00000833,0.2+
00000834,5.4+
00000835,20.0+
00000836,0.9+
00000837,0.9+
00000838,0.9+
00000839,0.9+
00000840,0.5+
00000841,6.2+
00000842,12.2+
00000843,0.9+
00000844,0.9+
00000845,3.0+
00000846,1.7+
00000847,260.0+
00000848,660.7+
00000849,1.0+
00000850,3.5+
00000851,4.8+
00000852,0.9+
00000853,0.9+
00000854,109.0+
00000855,0.9+
00000856,0.9+
00000857,500.0+
00000858,0.9+
00000859,18.9+
00000860,0.9+
00000861,900.0+
00000865,1.3+
00000866,0.9+
00000867,7.0+
00000868,0.8+
00000869,0.8+
00000870,17.0+
00000871,0.9+
00000872,20.0+
00000873,0.9+
00000874,0.9+
00000875,1.3+
00000876,2.0+
00000877,200.0+
00000878,0.9+
00000879,0.9+
00000880,24.6+
00000881,87.3+
00000882,102.0+
00000883,0.9+
00000884,0.9+
00000885,0.9+
00000886,110.0+
00000887,37.0+
00000888,61.0+
00000889,2.5+
00000890,0.9+
00000891,0.9+
00000892,100.0+
00000893,150.0+
00000894,3.0+
00000895,1107.2+
00000896,300.0+
00000897,158.3+
00000899,60.0+
00000900,1.8+
00000901,0.8+
00000902,0.4+
00000904,8.0+
00000905,0.9+
00000906,0.9+
00000907,11.7+
00000908,0.2+
00000909,2.7+
00000910,3.7+
00000911,0.3+
00000912,0.5+
00000913,2.1+
00000915,113.0+
00000916,2.0+
00000917,0.9+
00000918,0.9+
00000919,0.9+
00000920,15.0+
00000921,0.1+
00000922,6.2+
00000923,5.4+
00000924,4.3+
00000925,0.9+
00000926,54.0+
00000927,33.4+
00000928,18.5+
00000929,0.9+
00000930,1.7+
00000931,7.8+
00000932,37.7+
00000933,0.9+
00000934,0.9+
00000935,172.0+
00000936,2.2+
00000937,0.9+
00000938,2.3+
00000940,52.0+
00000941,0.9+
00000942,0.9+
00000943,0.9+
00000944,4.3+
00000945,0.9+
00000946,0.3+
00000947,2.1+
00000948,1.5+
00000949,0.9+
00000950,1.7+
00000951,0.1+
00000952,1.0+
00000953,0.9+
00000955,2.3+
00000956,0.9+
00000957,0.9+
00000958,5.0+
00000959,353.0+
00000960,6.9+
00000961,0.9+
00000962,0.5+
00000963,1.2+
00000964,9.4+
00000965,252.0+
00000966,21.1+
00000967,0.3+
00000968,0.9+
00000969,0.9+
00000970,0.9+
00000971,0.9+
00000972,0.3+
00000973,0.9+
00000974,10.0+
00000975,0.9+
00000976,12.5+
00000977,0.9+
00000978,3.0+
00000981,0.2+
00000982,6.0+
00000983,0.9+
00000984,40.0+
00000985,0.9+
00000986,1.2+
00000987,1.5+
00000988,3.3+
00000989,27.0+
00000990,0.9+
00000991,0.6+
00000992,0.9+
00000993,7.0+
00000994,0.5+
00000995,0.9+
00000996,0.9+
00000997,1.5+
00000998,4.9+
00000999,1.0+
00001000,0.2+
00001001,0.9+
00001002,0.9+
00001003,0.9+
00001004,0.9+
00001005,3.6+
00001006,0.9+
00001007,1.0+
00001008,0.9+
00001009,3.4+
00001010,0.9+
00001011,1.8+
00001012,0.9+
00001013,0.9+
00001014,130.0+
00001015,62.0+
00001016,22.5+
00001017,0.9+
00001018,0.9+
00001019,0.2+
00001020,0.9+
00001021,1.1+
00001022,0.6+
00001023,40.0+
00001024,2.0+
00001025,0.9+
00001026,2.0+
00001027,0.9+
00001028,0.9+
00001029,2.0+
00001030,150.0+
00001031,0.9+
00001032,0.9+
00001033,0.9+
00001034,2.0+
00001035,0.5+
00001036,33.0+
00001037,0.6+
00001038,0.9+
00001039,0.9+
00001040,0.9+
00001041,0.9+
00001042,0.9+
00001043,0.9+
00001044,53.0+
00001045,0.9+
00001046,39700.0+
00001047,200.0+
00001048,3.5+
00001050,100.0+
00001051,0.9+
00001052,11.5+
00001053,131.0+
00001054,540.0+
00001055,0.6+
00001056,0.9+
00001057,0.9+
00001058,0.9+
00001059,6.0+
00001061,85.0+
00001062,0.9+
00001063,9.8+
00001064,3.0+
00001065,1.0+
00001066,2.0+
00001067,0.9+
00001068,0.5+
00001069,10.0+
00001070,4.0+
00001071,0.9+
00001072,6.5+
00001073,7.6+
00001074,9.0+
